                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9935,                0.81317,                0.74529,                0.00036,                0.10776,                0.00021,                  5e-05,                 1.7387,                0.31296,                0.54994,               0.066873,             0.00016647,             0.00016647
                      2,                 1.8037,                0.26641,                0.58564,                0.00034,                0.10237,                0.00021,                  4e-05,                 1.6936,                0.31233,                0.55337,               0.033701,             0.00032764,             0.00032764
                      3,                 1.5751,                0.41727,                0.47711,                  0.008,                 0.1681,                0.00348,                0.00112,                  1.327,                0.63523,                0.42391,             0.00052299,             0.00048331,             0.00048331
                      4,                 1.2611,                0.63425,                 0.3479,                0.12345,                 0.1778,                 0.0543,                0.01997,                 1.0512,                0.78503,                0.30576,             0.00047525,             0.00047525,             0.00047525
                      5,                 1.0548,                0.76229,                0.26577,                0.29694,                0.27371,                0.16327,                0.06086,                0.89529,                0.79324,                0.23671,             0.00047525,             0.00047525,             0.00047525
                      6,                0.96263,                0.76727,                0.22679,                0.32047,                0.33621,                0.21581,                0.08301,                0.84039,                0.78709,                 0.2082,               0.000467,               0.000467,               0.000467
                      7,                0.92121,                 0.7557,                 0.2036,                0.38355,                0.36961,                0.26761,                0.10206,                0.81238,                 0.7776,                0.18855,             0.00045875,             0.00045875,             0.00045875
                      8,                0.89322,                0.75954,                0.19296,                0.41579,                0.39116,                0.29236,                0.11478,                0.79156,                0.75582,                0.18324,              0.0004505,              0.0004505,              0.0004505
                      9,                0.88622,                0.73581,                0.18559,                  0.439,                0.39716,                0.32104,                0.12691,                0.77671,                0.75097,                0.17888,             0.00044225,             0.00044225,             0.00044225
                     10,                0.85885,                0.73008,                0.17427,                0.45477,                0.41379,                 0.3507,                0.13896,                0.76891,                0.74257,                0.17316,               0.000434,               0.000434,               0.000434
                     11,                0.83512,                0.72932,                0.16956,                0.43298,                0.45797,                0.36226,                0.14338,                0.75399,                0.72719,                0.17211,             0.00042575,             0.00042575,             0.00042575
                     12,                0.83574,                0.71382,                0.16583,                0.49361,                0.43858,                0.38109,                0.14832,                0.76381,                0.71391,                 0.1701,              0.0004175,              0.0004175,              0.0004175
                     13,                0.81756,                0.72572,                0.15647,                0.47245,                0.46336,                0.38656,                 0.1555,                0.73977,                0.73494,                0.16088,             0.00040925,             0.00040925,             0.00040925
                     14,                0.79925,                0.72669,                0.15552,                0.48254,                0.47028,                0.40131,                0.16115,                0.74008,                0.71413,                0.16021,               0.000401,               0.000401,               0.000401
                     15,                0.81131,                0.71016,                0.16493,                0.49053,                0.47629,                0.41219,                0.16614,                0.72776,                0.72689,                0.15995,             0.00039275,             0.00039275,             0.00039275
                     16,                0.78178,                  0.712,                0.15227,                 0.4976,                0.47737,                0.42177,                0.17332,                0.71857,                0.72639,                  0.157,              0.0003845,              0.0003845,              0.0003845
                     17,                0.77794,                0.71419,                0.15021,                0.49268,                0.48347,                0.42663,                0.17695,                0.70779,                0.74412,                0.14936,             0.00037625,             0.00037625,             0.00037625
                     18,                0.77176,                0.71626,                0.15009,                0.51403,                0.48441,                0.44825,                0.18345,                0.72164,                0.70718,                0.15652,               0.000368,               0.000368,               0.000368
                     19,                0.77786,                0.69846,                0.14844,                0.49885,                0.49569,                0.44758,                0.18408,                0.71334,                0.71462,                0.15038,             0.00035975,             0.00035975,             0.00035975
                     20,                0.77543,                0.70403,                 0.1482,                0.52195,                0.48591,                 0.4471,                0.18705,                0.70422,                0.71903,                0.14814,              0.0003515,              0.0003515,              0.0003515
                     21,                0.77443,                 0.6942,                0.14836,                0.50385,                0.51078,                0.46129,                  0.188,                0.69678,                0.71999,                0.14358,             0.00034325,             0.00034325,             0.00034325
                     22,                0.75957,                0.70332,                0.14085,                0.50314,                0.51078,                0.45208,                 0.1873,                0.69263,                0.72654,                0.14523,               0.000335,               0.000335,               0.000335
                     23,                0.74868,                0.71606,                0.13973,                 0.5208,                0.49539,                0.45968,                0.19169,                0.69085,                0.72197,                 0.1447,             0.00032675,             0.00032675,             0.00032675
                     24,                0.76127,                0.68706,                0.14503,                0.52842,                0.48541,                0.46181,                0.19203,                0.68622,                0.73044,                0.14123,              0.0003185,              0.0003185,              0.0003185
                     25,                0.73955,                0.70305,                0.13387,                0.50401,                0.50323,                0.46179,                0.19755,                0.67448,                0.73739,                0.13663,             0.00031025,             0.00031025,             0.00031025
                     26,                0.73548,                0.69554,                0.13489,                0.52075,                0.51616,                0.47259,                0.20151,                0.67267,                0.73258,                0.13522,               0.000302,               0.000302,               0.000302
                     27,                0.73389,                0.69173,                0.13401,                0.50283,                0.52478,                0.47753,                0.20314,                0.67628,                0.72648,                0.13818,             0.00029375,             0.00029375,             0.00029375
