                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3235,                 4.2216,                 1.6846,                0.29242,                0.25647,                0.16395,                0.06575,                 2.2555,                 2.9415,                 1.6638,               0.066991,             0.00016587,             0.00016587
                      2,                 2.0398,                 2.2223,                  1.494,                0.35034,                0.32426,                0.23407,                0.09455,                 2.1226,                 2.4761,                 1.5741,               0.033818,             0.00032596,             0.00032596
                      3,                 1.9459,                 2.0189,                  1.421,                0.36257,                0.41164,                0.25155,                0.10013,                 2.0355,                 2.3437,                 1.4767,             0.00063817,             0.00047944,             0.00047944
                      4,                 1.8929,                 1.8886,                 1.3896,                0.40736,                0.40948,                0.28809,                0.11164,                 2.0001,                 2.2672,                  1.455,              0.0004703,              0.0004703,              0.0004703
                      5,                 1.8248,                 1.7523,                  1.347,                 0.4368,                0.46121,                0.35014,                0.14454,                 2.0259,                 2.0444,                 1.4629,              0.0004703,              0.0004703,              0.0004703
                      6,                 1.7457,                 1.6219,                 1.3113,                0.46277,                0.48922,                0.37838,                0.16583,                 1.9212,                 1.9685,                 1.4167,              0.0004604,              0.0004604,              0.0004604
                      7,                 1.6958,                 1.5118,                 1.2911,                0.43436,                0.49677,                0.34663,                0.15409,                 1.9695,                 2.0019,                 1.4454,              0.0004505,              0.0004505,              0.0004505
                      8,                 1.6397,                 1.4393,                  1.261,                0.45608,                0.50328,                 0.3991,                0.18002,                 1.8818,                 1.8726,                 1.3997,              0.0004406,              0.0004406,              0.0004406
                      9,                 1.5895,                 1.3402,                 1.2362,                0.48803,                0.51832,                0.40011,                0.18809,                 1.8539,                 1.8047,                 1.3659,              0.0004307,              0.0004307,              0.0004307
                     10,                 1.5297,                 1.2573,                 1.2029,                0.45886,                 0.5194,                0.39586,                 0.1875,                 1.8411,                 1.7749,                 1.3786,              0.0004208,              0.0004208,              0.0004208
                     11,                 1.4601,                 1.1668,                 1.1776,                0.49017,                0.54095,                 0.4331,                0.21372,                 1.7679,                 1.8292,                 1.3283,              0.0004109,              0.0004109,              0.0004109
                     12,                 1.4144,                 1.1149,                  1.152,                0.52127,                 0.5431,                0.44515,                0.23368,                 1.7239,                 1.6459,                 1.3183,               0.000401,               0.000401,               0.000401
                     13,                 1.3669,                 1.0709,                  1.128,                0.52536,                0.55927,                0.44777,                0.22729,                 1.7511,                 1.6469,                 1.3334,              0.0003911,              0.0003911,              0.0003911
                     14,                 1.2792,                0.96192,                 1.0935,                0.53168,                0.55927,                0.45241,                0.23498,                 1.7248,                 1.6065,                 1.3035,              0.0003812,              0.0003812,              0.0003812
                     15,                 1.2827,                0.95141,                 1.0886,                0.52929,                 0.5528,                0.45873,                0.24332,                    1.7,                 1.6355,                 1.2808,              0.0003713,              0.0003713,              0.0003713
                     16,                 1.2151,                0.91739,                 1.0592,                0.55296,                0.55819,                0.48293,                0.27362,                 1.5988,                 1.5709,                 1.2571,              0.0003614,              0.0003614,              0.0003614
                     17,                 1.1807,                0.86196,                 1.0535,                0.55592,                0.56142,                0.46215,                0.26121,                 1.5873,                 1.5802,                  1.243,              0.0003515,              0.0003515,              0.0003515
                     18,                 1.1433,                0.83012,                 1.0322,                0.61738,                0.54526,                0.48417,                0.27932,                  1.558,                 1.5792,                 1.2434,              0.0003416,              0.0003416,              0.0003416
                     19,                 1.1224,                0.81393,                 1.0241,                0.59007,                0.58789,                0.49326,                0.28695,                 1.5551,                 1.5495,                 1.2327,              0.0003317,              0.0003317,              0.0003317
                     20,                 1.0587,                0.77267,                 1.0001,                 0.5932,                0.58768,                0.49829,                0.29693,                 1.5238,                  1.501,                 1.2366,              0.0003218,              0.0003218,              0.0003218
                     21,                 1.0294,                0.75108,                0.98822,                 0.5854,                0.59159,                0.49698,                 0.2918,                 1.5093,                 1.5196,                 1.2051,              0.0003119,              0.0003119,              0.0003119
                     22,                 1.0083,                0.72212,                0.98597,                0.61535,                0.58728,                0.50969,                0.29872,                 1.4692,                 1.4556,                  1.191,               0.000302,               0.000302,               0.000302
                     23,                0.98549,                0.70153,                0.97394,                0.63338,                0.56222,                0.51161,                0.30785,                 1.4526,                 1.4385,                  1.186,              0.0002921,              0.0002921,              0.0002921
                     24,                0.95312,                0.68162,                0.96642,                 0.6286,                0.59806,                0.52273,                0.33019,                 1.3876,                 1.4816,                 1.1558,              0.0002822,              0.0002822,              0.0002822
                     25,                0.91473,                0.64481,                  0.945,                0.64307,                0.60129,                0.55072,                0.36249,                 1.3587,                 1.4923,                 1.1493,              0.0002723,              0.0002723,              0.0002723
                     26,                0.88442,                0.63303,                0.93868,                0.62966,                0.61961,                0.53289,                0.33997,                 1.3379,                 1.4184,                 1.1437,              0.0002624,              0.0002624,              0.0002624
                     27,                0.87699,                0.62355,                 0.9399,                0.62645,                 0.6325,                0.55649,                0.37011,                 1.3654,                 1.4544,                 1.1571,              0.0002525,              0.0002525,              0.0002525
                     28,                0.84734,                0.59991,                0.93233,                0.59689,                0.64547,                0.53692,                0.34633,                 1.3169,                 1.4098,                 1.1246,              0.0002426,              0.0002426,              0.0002426
                     29,                0.81509,                0.58147,                0.90933,                0.65131,                 0.6153,                0.55711,                0.37459,                 1.2767,                 1.4398,                 1.1218,              0.0002327,              0.0002327,              0.0002327
                     30,                0.81669,                0.58013,                0.91356,                 0.6367,                0.60991,                0.54782,                0.37501,                 1.2521,                 1.5106,                  1.104,              0.0002228,              0.0002228,              0.0002228
                     31,                0.80134,                0.56347,                0.90716,                0.64382,                0.65086,                0.57043,                0.39328,                 1.2152,                 1.3241,                 1.0868,              0.0002129,              0.0002129,              0.0002129
                     32,                0.78969,                0.56798,                 0.9112,                0.64202,                0.63578,                0.56455,                0.38815,                 1.2415,                 1.3973,                 1.1046,               0.000203,               0.000203,               0.000203
                     33,                0.75384,                0.53156,                0.89683,                0.64136,                0.64871,                0.55395,                0.39188,                 1.1946,                 1.4299,                 1.0971,              0.0001931,              0.0001931,              0.0001931
                     34,                0.73221,                0.51692,                0.89386,                0.64633,                0.65625,                0.57098,                0.40307,                 1.1848,                 1.3759,                 1.0899,              0.0001832,              0.0001832,              0.0001832
                     35,                 0.7161,                0.50798,                 0.8915,                0.66832,                 0.6347,                0.55717,                0.39413,                 1.1451,                 1.4754,                 1.0683,              0.0001733,              0.0001733,              0.0001733
                     36,                0.70016,                0.50806,                0.88954,                0.65903,                0.65816,                0.56999,                 0.4041,                 1.1332,                 1.4016,                 1.0678,              0.0001634,              0.0001634,              0.0001634
                     37,                0.66843,                0.48257,                0.87471,                0.65495,                0.65247,                0.57016,                0.41053,                 1.1184,                 1.4584,                 1.0521,              0.0001535,              0.0001535,              0.0001535
                     38,                0.66967,                0.48526,                0.87483,                0.65634,                0.66379,                0.56874,                0.41169,                 1.1039,                  1.431,                 1.0605,              0.0001436,              0.0001436,              0.0001436
                     39,                0.66288,                0.47495,                0.87272,                 0.6537,                0.66379,                0.58398,                0.43312,                 1.0856,                 1.4165,                 1.0467,              0.0001337,              0.0001337,              0.0001337
                     40,                0.63998,                0.45498,                0.87404,                0.65646,                0.65687,                0.58657,                0.43385,                 1.0691,                  1.441,                 1.0423,              0.0001238,              0.0001238,              0.0001238
                     41,                0.53202,                0.34243,                 0.8194,                0.67477,                0.67026,                0.59182,                0.44913,                 1.0047,                  1.442,                 1.0239,              0.0001139,              0.0001139,              0.0001139
                     42,                0.43055,                0.30042,                0.80031,                 0.6797,                0.64944,                0.58814,                0.45732,                0.96124,                 1.4848,                 1.0115,               0.000104,               0.000104,               0.000104
                     43,                 0.3892,                0.27398,                0.79215,                0.68013,                0.66445,                0.59913,                0.47273,                0.92676,                 1.4958,                0.99852,               9.41e-05,               9.41e-05,               9.41e-05
                     44,                0.35556,                0.25784,                0.78744,                0.68792,                0.67888,                0.60185,                0.48253,                0.90413,                 1.4807,                 1.0002,               8.42e-05,               8.42e-05,               8.42e-05
                     45,                0.32712,                0.24221,                0.78361,                0.68687,                0.67026,                0.58921,                0.47529,                 0.8773,                 1.5049,                0.99219,               7.43e-05,               7.43e-05,               7.43e-05
                     46,                0.30212,                0.23199,                0.77969,                0.69642,                0.67733,                 0.5948,                0.48677,                0.86575,                 1.5036,                0.99321,               6.44e-05,               6.44e-05,               6.44e-05
                     47,                0.28425,                0.22061,                0.77729,                0.68031,                0.66595,                  0.596,                0.48841,                0.85788,                 1.5292,                0.99313,               5.45e-05,               5.45e-05,               5.45e-05
                     48,                0.26337,                0.20821,                0.77454,                0.68637,                0.67446,                0.59467,                0.48863,                  0.842,                 1.5312,                0.98351,               4.46e-05,               4.46e-05,               4.46e-05
                     49,                 0.2446,                0.20131,                0.77305,                0.68904,                0.66618,                0.60439,                0.50113,                0.83915,                 1.5617,                0.98883,               3.47e-05,               3.47e-05,               3.47e-05
                     50,                 0.2331,                0.19233,                0.77165,                0.68573,                0.66918,                0.59952,                0.49813,                0.82671,                 1.5754,                0.98164,               2.48e-05,               2.48e-05,               2.48e-05
